# Reference: [1] K. Wadowska, I. Bil-Lula, Ł. Trembecki, and M. Śliwińska-Mossoń, “Genetic markers in lung cancer diagnosis: A review,” Int. J. Mol. Sci., vol. 21, no. 13, pp. 1–24, 2020.
EGFR,ENSG00000146648
KRAS,ENSG00000133703
MET,ENSG00000105976
ALK,ENSG00000171094
BRAF,ENSG00000157764
ROS1,ENSG00000047936
RET,ENSG00000165731
NTRK1,ENSG00000198400
NTRK2,ENSG00000148053
NTRK3,ENSG00000140538
PTEN,ENSG00000171862
PDGFRA,ENSG00000134853
PIK3CA,ENSG00000121879
TP53,ENSG00000141510
ERBB2,ENSG00000141736
TERT,ENSG00000164362
CDKN2A,ENSG00000147889
FGFR1,ENSG00000077782
FGFR2,ENSG00000066468
NF1,ENSG00000196712
DDR2,ENSG00000162733
SOX2,ENSG00000181449
CDKN2A,ENSG00000147889
